"ID","Жанр позитивного впливу","Тип позитивного впливу","Категорія позитивного впливу","Жанр негативного впливу","Тип негативного впливу","Категорія негативного впливу"
"1","Головоломки","Стратегічне мислення","Когнітивні функції здібності","Всі","Недостатній тайм-менеджмент","Когнітивні функції здібності"
"6","MMOG","Вивчення мов","Навчання і розвиток","","",""
"6","Пісочниці","Вивчення мов","Навчання і розвиток","","",""
"7","","","","MMOG","Фінансова неграмотність","Практичні життєві навички"
"10","","","","Всі","Втрата інтересу до навчання ","Навчання і розвиток"
"13","Спортивні","Орієнтація в просторі","Практичні життєві навички ","Всі","Втома","Емоційно-психологічний стан та здоров'я"
"13","Спортивні","Розвиток точності","Моторика та координація","Всі","Втома","Емоційно-психологічний стан та здоров'я"
"20","Всі","Покращення реакції","Моторика та координація","","",""
"30","Пісочниці","","","","",""
"35","Навчальні","Вивчення мов","Навчання і розвиток","","",""
"37","Симулятори","","","","",""
"38","Головоломки","","","Шутери та бойовики","",""
"43","Всі","Вивчення мов","Навчання і розвиток","MMOG","Агресія","Емоційно-психологічний стан та здоров'я"
"45","","","","Шутери та бойовики","",""
"50","MMOG","Покращення настрою","Емоційно-психологічний стан та здоров'я","","",""
"53","","","","Всі","Підвищена дратівливість","Емоційно-психологічний стан та здоров'я"
"54","Шутери та бойовики","Покращення реакції","Моторика та координація","Шутери та бойовики","",""
"59","Всі","Вивчення мов","Навчання і розвиток","Всі","Залежність","Емоційно-психологічний стан та здоров'я"
"63","","","","MMOG","",""
"65","Гонки","Покращення реакції","Моторика та координація","","",""
"65","Гонки","Уважність","Когнітивні функції здібності","","",""
"66","Головоломки","Підвищення самооцінки","Емоційно-психологічний стан та здоров'я","","",""
"70","","","","MMOG","Залежність","Емоційно-психологічний стан та здоров'я"
"70","","","","MMOG","Втрата офлайн комунікації","Соціальні навички навички"
"72","MMOG","Вивчення мов","Навчання і розвиток","MMOG","Емоційна нестабільність","Емоційно-психологічний стан та здоров'я"
"72","MMOG","Нові друзі","Соціальні навички навички","MMOG","Агресія","Емоційно-психологічний стан та здоров'я"
"74","Пісочниці","Самостійне навчання","Навчання і розвиток","Пісочниці","Біль у голові","Емоційно-психологічний стан та здоров'я"
"74","","","","Пісочниці","Зменшення розумової активності","Когнітивні функції здібності"
"75","","","","Всі","Біль у голові","Емоційно-психологічний стан та здоров'я"
"75","","","","Всі","Біль в очах","Емоційно-психологічний стан та здоров'я"
"77","MMOG","Розвиток навичок спілкування","Соціальні навички навички","","",""
"79","Головоломки","Уважність","Когнітивні функції здібності","","",""
"82","Пісочниці","Дизайн","Практичні життєві навички ","","",""
"83","MMOG","Розвиток навичок спілкування","Соціальні навички навички","Рольові","Погіршення настрою","Емоційно-психологічний стан та здоров'я"
"83","Рольові","Самостійне навчання","Навчання і розвиток","","",""
"85","Пісочниці","Покращення реакції","Моторика та координація","Пісочниці","Агресія","Емоційно-психологічний стан та здоров'я"
"85","Пісочниці","Дизайн","Практичні життєві навички ","","",""
"87","MMOG","Вивчення мов","Навчання і розвиток","","",""
"89","СтратегіЇ","Стратегічне мислення","Когнітивні функції здібності","Шутери та бойовики","",""
"91","","","","","Підвищена дратівливість","Емоційно-психологічний стан та здоров'я"
"92","MMOG","Вивчення мов","Навчання і розвиток","","",""
"93","Жахи","Витривалість","Моторика та координація","MMOG","Конфлікти","Соціальні навички навички"
"95","Головоломки","Логічне мислення","Когнітивні функції здібності","","",""
"97","Всі","Стратегічне мислення","Когнітивні функції здібності","Всі","Недостатній тайм-менеджмент","Навчання і розвиток"
"98","Всі","Самостійність","Практичні життєві навички ","","",""
"98","Всі","Самостійне навчання","Навчання і розвиток","","",""
"100","","","","MMOG","Емоційна нестабільність","Емоційно-психологічний стан та здоров'я"
"101","Спортивні","Розвиток точності","Моторика та координація","","",""
"104","Всі","Вивчення мов","Навчання і розвиток","","",""
"105","Рольові","Критичне мислення","Когнітивні функції здібності","","",""
"105","Рольові","Уважність","Когнітивні функції здібності","","",""
"108","MMOG","Вивчення мов","Навчання і розвиток","","",""
"110","","","","Всі","Емоційна нестабільність","Емоційно-психологічний стан та здоров'я"
"112","Шутери та бойовики","","","Шутери та бойовики","Втрата інтересу до навчання ","Навчання і розвиток"
"113","Всі","Вивчення мов","Навчання і розвиток","","",""
"116","Шутери та бойовики","","","","",""
"117","Головоломки","Стратегічне мислення","","","",""
"118","","","","Всі","Залежність","Емоційно-психологічний стан та здоров'я"
"119","Пісочниці","","","","",""
"122","Симулятори","Розвиток пам'яті","Когнітивні функції здібності","","",""
"127","Головоломки","Самостійне навчання","Навчання і розвиток","","",""
"128","Всі","Самостійність","Практичні життєві навички ","Всі","Недостатній тайм-менеджмент","Навчання і розвиток"
"131","Симулятори","Покращення реакції","Моторика та координація","","",""
"136","Симулятори","","","Шутери та бойовики","",""
"137","Головоломки","","","","",""
"141","MMOG","Витривалість","Моторика та координація","MMOG","Агресія","Емоційно-психологічний стан та здоров'я"
"142","Симулятори","","","Всі","Зниження фізичної активності","Моторика та координація"
"144","MMOG","Орієнтація в просторі","Практичні життєві навички ","","",""
"145","Всі","Самостійне навчання","Навчання і розвиток","Шутери та бойовики","Агресія","Емоційно-психологічний стан та здоров'я"
"145","Всі","Критичне мислення","Когнітивні функції здібності","Симулятори","Агресія","Емоційно-психологічний стан та здоров'я"
"147","Пісочниці","","","MMOG","",""
"148","Всі","Уважність","Когнітивні функції здібності","","",""
"149","Симулятори","","","Пісочниці","",""
"150","","","","Всі","Погіршення настрою","Емоційно-психологічний стан та здоров'я"
"151","Шутери та бойовики","","","","",""
"153","","","","Всі","Зниження концентрації уваги","Когнітивні функції здібності"
"154","","","","Шутери та бойовики","Підвищена дратівливість","Емоційно-психологічний стан та здоров'я"
"158","Всі","Самостійність","Практичні життєві навички ","Всі","Недостатній тайм-менеджмент","Навчання і розвиток"
"159","Всі","Покращення дрібної моторики ","Моторика та координація","Шутери та бойовики","Агресія","Емоційно-психологічний стан та здоров'я"
"159","Всі","Стратегічне мислення","Когнітивні функції здібності","","",""
"161","Симулятори","Фінансова грамотність","Практичні життєві навички ","","",""
"162","Всі","Логічне мислення","Когнітивні функції здібності","Шутери та бойовики","Емоційна нестабільність","Емоційно-психологічний стан та здоров'я"
"163","Пісочниці","Покращення розуміння математики","Когнітивні функції здібності","Всі","Недостатній тайм-менеджмент","Навчання і розвиток"
"164","Симулятори","Фінансова грамотність","Практичні життєві навички ","Всі","Біль у голові","Емоційно-психологічний стан та здоров'я"
"165","Головоломки","Логічне мислення","Когнітивні функції здібності","Всі","Зниження концентрації уваги","Когнітивні функції здібності"
"165","Головоломки","Самостійне навчання","Навчання і розвиток","Всі","Втеча від реальності","Практичні життєві навички"
"166","","","","Всі","Підвищена дратівливість","Емоційно-психологічний стан та здоров'я"
"167","Гонки","Розвиток пам'яті","Когнітивні функції здібності","Шутери та бойовики","Агресія","Емоційно-психологічний стан та здоров'я"
"167","Пісочниці","Дизайн","Практичні життєві навички ","","",""
