ID;Респондент;Вік;Стать;Чи грає у відеоігри;Девайс;Улюблена гра;Час;Жанр;Витрата грошей;Позитивний вплив;Unnamed: 11;Негативний вплив;Відповідь респендента про негативний вплив 
1;Дитина;13;Чоловіча;Так;телефон;Шахи, Call of war;близько 3 годин;Шутери та бойовики;Ні;Так;Так, стратегічне мислення ;Так;Забирає багато часу
2;Дитина;13;Чоловіча;Так;комп'ютер/ноутбук;-;4 години і більше;Шутери та бойовики;Так;Так;так;Ні;ні
3;Дитина;14;Жіноча;Ні;-;-;-;-;Ні;Ні;ніяк ;Ні;ніяк
4;Дитина;13;Жіноча;Так;телефон;Genshin Impact;близько 1 години;Жахи;Так;Ні;?;Ні;?
5;Дитина;13;Жіноча;Так;телефон;Genshin Impact;близько 3 годин;MMOG;Ні;Ні;ні;Ні;ні
6;Дитина;14;Жіноча;Так;комп'ютер/ноутбук;Minecraft;близько 1 години;Пісочниці;Ні;Так;роблокс та майнкрафт покращили мою англійську мову ;Ні;ні
7;Дитина;13;Чоловіча;Так;комп'ютер/ноутбук;Dota 2;4 години і більше;Стратегії;Так;Ні;Ні;Так;dota 2 навчила витрачати грошi на аркану на сфа
8;Батьки;11;Чоловіча;Так;планшет;Brawl Stars;близько 2 годин;Гонки;Ні;Ні;Ні;Ні;Ні
9;Батьки;11;Жіноча;Так;планшет;Roblox;близько 1 години;Симулятори;Ні;Ні;Ні;Ні;Ні
10;Батьки;11;Чоловіча;Так;телефон;-;близько 3 годин;Шутери та бойовики;Ні;Ні;Ні;Так;Лінь навчатися
11;Батьки;10;Жіноча;Так;телефон;Roblox;близько 2 годин;Стратегії;Ні;Ні;Ні;Ні;Ні
12;Батьки;10;Жіноча;Ні;-;-;-;-;Ні;Ні;Ні;Ні;Ні
13;Батьки;11;Чоловіча;Так;комп'ютер/ноутбук;Brawl Stars, Fortnite, Counter-Strike;близько 1 години;Шутери та бойовики;Так;Так;Фіфа вплинула на краще бачення себе на полі під час реальних тренувань;Так;Просто надмірний час в мережі емоційно втомлює, дитина стає більш емоційно неврівноваженою чи схильною до істерики, тому намагаємося контролювати час на ігри
14;Батьки;12;Чоловіча;Так;планшет;Brawl Stars, Minecraft, Roblox, Flight Simulator;4 години і більше;MMOG;Ні;Ні;ні;Так;так, погіршується настрій, проблеми зі сном і самоорганізацією, погіршилося навчання
15;Батьки;10;Чоловіча;Так;телефон;Minecraft;близько 1 години;Симулятори;Ні;Ні;Ні;Ні;Ні 
16;Батьки;10;Жіноча;Так;телефон;-;близько 1 години;Симулятори;Ні;Ні;ні;Ні;ні
17;Батьки;10;Чоловіча;Так;інше;Grand theft auto;близько 2 годин;Пісочниці;Ні;Ні;Не помічала;Ні;Не помічала
18;Батьки;11;Жіноча;Ні;-;-;-;-;Ні;Ні;Ні;Ні;Ні
19;Батьки;10;Чоловіча;Так;інше;Grand theft auto;близько 2 годин;Пісочниці;Ні;Ні;Не помічала;Ні;Не помічала
20;Дитина;11;Чоловіча;Так;телефон;Brawl Stars;близько 1 години;Рольові;Ні;Так; Я почав швидше реагувати;Ні;Не помічав
21;Батьки;10;Чоловіча;Так;телефон;Minecraft;близько 2 годин;Пісочниці;Ні;Ні;.;Ні;.
22;Батьки;10;Жіноча;Так;телефон;SimCity ;менше 1 години;Симулятори;Ні;Ні;Дитина особливо не захоплюється компʼютерними іграми, тому важко сказати ;Ні;Я контролюю якість та жанр ігор, тому в нас неприємностей , повʼязаних із впливом ігор не було . 
23;Батьки;12;Жіноча;Так;комп'ютер/ноутбук;Roblox;близько 3 годин;MMOG;Ні;Ні;-;Ні;-
24;Батьки;10;Жіноча;Ні;-;-;-;-;Ні;Ні;Ні;Ні;Ні
25;Батьки;10;Чоловіча;Так;телефон;Minecraft;близько 2 годин;Стратегії;Так;Так;Так;Так;Так
26;Батьки;10;Жіноча;Так;планшет;-;близько 2 годин;MMOG;Ні;Ні;-;Так;Так. всі
27;Батьки;10;Чоловіча;Так;телефон;Brawl Stars;близько 2 годин;Гонки;Ні;Ні;-;Так;Так
28;Дитина;11;Чоловіча;Так;телефон;Brawl Stars ;близько 1 години;Шутери та бойовики;Ні;Ні;Ні;Ні;Ні
29;Дитина;11;Чоловіча;Так;телефон;Roblox;близько 2 годин;Шутери та бойовики;Так;Так;"так
";Ні;"ні
"
30;Дитина;10;Чоловіча;Так;телефон;Minecraft;близько 1 години;Пісочниці;Так;Так;Minecraft;Ні;Ніяка гра на мене не впливає негативно
31;Дитина;11;Чоловіча;Так;планшет;Standoff 2;близько 2 годин;Шутери та бойовики;Ні;Так;Так;Так;Так
32;Дитина;10;Чоловіча;Так;телефон;Standoff 2;близько 2 годин;Шутери та бойовики;Так;Так;Так;Так;Так
33;Дитина;10;Чоловіча;Так;телефон;Minecraft;близько 2 годин;Пісочниці;Так;Так;Так;Ні;Ні
34;Дитина;11;Чоловіча;Так;телефон;EA Sports FC Mobile;близько 2 годин;Спорт;Ні;Ні;"Ні
";Ні;"Ні
"
35;Дитина;10;Жіноча;Ні;-;-;-;-;Ні;Так;Я раніше грала в Duolingo але це не зовсім гра;Ні;Я не граю в ігри 
36;Дитина;10;Жіноча;Так;комп'ютер/ноутбук;Roblox;близько 2 годин;Пригоди;Ні;Ні;Ні;Ні;Ні
37;Дитина;10;Жіноча;Так;планшет;Roblox;близько 1 години;Симулятори;Ні;Так;Так , My supermarket;Ні;Ні
38;Дитина;10;Чоловіча;Так;телефон;Brawl Stars;близько 2 годин;MMOG;Так;Так;Головоломки;Так;KUBOOM 
39;Дитина;11;Жіноча;Так;планшет;Brawl Stars;близько 1 години;Гонки;Ні;Ні;Ніяк;Ні;Не вплинули
40;Дитина;10;Жіноча;Так;телефон;Brawl Stars;близько 1 години;Шутери та бойовики;Ні;Ні;Нічого не погіршилося ;Ні;Все без змін
41;Дитина;10;Чоловіча;Так;телефон;Standoff 2;близько 2 годин;Головоломки;Ні;Так;Так;Ні;Ні
42;Дитина;11;Жіноча;Так;планшет;Roblox;близько 1 години;Симулятори;Ні;Так;Так;Ні;Ні
43;Дитина;11;Жіноча;Так;телефон;Roblox;близько 2 годин;MMOG;Ні;Так;Було що я трошки англійську мову підвчила ;Так;Brawl Stars, я дуже на все була злою
44;Дитина;10;Жіноча;Так;телефон;Block Blast;близько 1 години;Головоломки;Ні;Так;Нормально;Ні;Ні
45;Дитина;10;Чоловіча;Так;телефон;Roblox;близько 1 години;Жахи;Так;Ні;Ніяк;Так;Стрілялки
46;Дитина;11;Чоловіча;Так;телефон;Roblox;близько 2 годин;Пісочниці;Ні;Так;fnaf;Ні;Немає
47;Дитина;11;Жіноча;Так;планшет;Brawl Stars;близько 1 години;Рольові;Ні;Ні;Ні;Ні;Ні
48;Дитина;10;Чоловіча;Так;телефон;Standoff 2;близько 1 години;Шутери та бойовики;Ні;Ні;Я залишився як і раніше ;Так;Stendof 2 .Я не помічав ніяких змін
49;Дитина;10;Жіноча;Так;планшет;Canva;близько 1 години;Головоломки;Ні;Так;"Так
";Ні;Ні
50;Дитина;11;Жіноча;Так;планшет;Roblox;близько 1 години;MMOG;Ні;Так;Вона дуже весела та з нею в мене піднявся настрій;Ні;Немає
51;Батьки;12;Жіноча;Так;телефон;Roblox;близько 3 годин;Симулятори;Ні;Ні;Ні;Ні;Ні
52;Дитина;12;Жіноча;Так;телефон;Roblox;менше 1 години;Симулятори;Ні;Так;Так;Ні;Нв
53;Батьки;10;Чоловіча;Так;телефон;Roblox;близько 1 години;MMOG;Так;Ні;Ні;Так;Так. Роздратованість.
54;Дитина;10;Чоловіча;Так;планшет;Pubg Mobile;4 години і більше;Шутери та бойовики;Ні;Так;"Я став дуже добра рікция
";Так;Вмое ігрі  жанр стрілялки онлайн безплатно 
55;Батьки;10;Чоловіча;Так;телефон;Minecraft;менше 1 години;Пісочниці;Ні;Ні;Так як не часто грає .то не замітили ;Ні;Не замітили
56;Батьки;11;Чоловіча;Так;телефон;Stumble Guys;близько 3 годин;Шутери та бойовики;Ні;Ні;Ні;Так;Так. 
57;Батьки;11;Жіноча;Так;планшет;-;менше 1 години;MMOG;Ні;Ні;Ні;Ні;Ні
58;Батьки;8;Жіноча;Так;телефон;SCHOOLBOY;близько 2 годин;Рольові;Ні;Так;Різні;Ні;Ні
59;Батьки;10;Жіноча;Так;планшет;Roblox;близько 3 годин;Рольові;Ні;Так;Так. Слова англійської мови;Так;Так. Азарт і залежність
60;Батьки;11;Чоловіча;Так;телефон;World of Tanks;близько 2 годин;Стратегії;Так;Ні;Ні;Ні;Ні
61;Батьки;10;Жіноча;Так;телефон;-;близько 2 годин;MMOG;Ні;Так;Так;Ні;Ні
62;Батьки;11;Чоловіча;Так;телефон;-;близько 1 години;Гонки;Ні;Ні;Ні;Ні;Ні
63;Батьки;11;Жіноча;Так;телефон;Roblox;менше 1 години;MMOG;Ні;Ні;Ні;Так;Roblox
64;Батьки;11;Чоловіча;Так;телефон;-;близько 3 годин;Симулятори;Ні;Ні;-;Ні;-
